age,arab,children_0_4,lwage_2011,marital,schooling,status,yeshiva
81,0,0,,1,10,4,0
17,0,0,,4,10,4,0
42,0,1,4.993241,1,17,1,0
55,0,0,4.113124,1,15,1,0
21,0,0,2.775759,4,6,1,0
49,0,0,2.947231,1,12,1,0
21,0,0,,4,12,4,0
45,0,0,3.329847,1,14,1,0
45,0,4,2.93679,1,12,1,0
33,0,4,,1,12,4,0
70,0,4,,1,6,4,0
59,0,0,4.553836,1,16,1,0
61,0,0,3.461445,1,8,1,0
74,0,0,,1,14,4,0
28,0,0,3.072608,1,14,1,0
57,0,0,4.174139,1,15,1,0
78,0,0,,1,15,4,0
57,0,0,3.707855,2,17,1,0
15,0,0,,4,10,4,0
51,0,0,,2,17,4,0
41,0,0,3.778294,4,12,1,0
59,0,0,4.523334,1,16,1,0
31,0,0,3.347633,4,17,1,0
85,0,0,,3,8,4,0
31,0,0,3.160581,4,24,2,0
48,0,0,3.820401,1,12,1,0
25,0,0,3.291621,4,12,1,0
61,0,0,3.412171,1,10,1,0
42,0,0,,4,12,4,0
29,0,0,2.999967,4,12,1,0
50,0,0,3.369126,1,17,1,1
21,0,0,,4,13,4,1
38,0,2,,1,30,4,1
25,0,2,,1,19,4,1
28,0,2,3.926443,1,18,1,0
21,0,0,,4,12,4,0
83,0,0,,1,0,4,0
45,0,0,,4,17,4,0
16,0,0,,4,11,4,0
42,0,0,3.328569,1,17,1,0
30,0,1,3.997756,1,12,1,0
74,0,0,,1,12,4,0
60,0,0,4.457663,1,20,1,0
48,0,0,4.464203,1,12,1,0
21,0,0,,4,12,4,0
21,0,0,2.92269,4,12,1,0
21,0,0,3.150872,4,12,1,0
60,0,0,4.632261,1,20,1,0
75,0,0,,1,10,4,0
32,0,0,,2,12,4,0
71,0,0,,1,10,4,0
46,0,0,4.439664,1,12,1,0
31,0,2,3.69521,1,12,1,0
47,0,1,3.542397,1,12,1,0
32,0,0,3.827849,1,12,1,0
36,0,2,4.009072,1,10,1,0
61,0,0,3.221392,1,12,1,0
70,0,0,,1,14,4,0
38,0,2,4.919121,1,14,1,0
34,0,0,,4,14,4,0
77,0,0,,1,18,4,0
26,0,0,3.585428,1,15,1,0
79,0,0,,1,7,4,0
64,0,0,3.903395,5,19,1,0
68,0,0,,1,14,4,0
21,0,0,,4,12,4,0
49,0,0,3.400812,1,12,1,0
39,0,1,3.816185,1,16,1,0
42,0,2,3.474884,1,12,1,0
30,0,0,4.100025,4,15,1,0
60,0,0,4.943902,1,19,1,0
25,0,0,3.127783,4,16,1,0
55,0,0,4.824396,1,16,1,0
75,0,0,,1,13,4,0
21,0,0,3.215019,4,14,1,0
25,0,0,2.966241,4,15,1,0
28,0,0,2.999175,4,14,1,0
56,0,0,3.481596,1,16,1,0
42,0,0,,4,12,4,0
67,0,0,3.247749,1,16,1,0
82,0,0,,2,16,4,0
37,0,0,3.152873,5,12,1,0
83,0,0,,3,12,4,0
29,0,2,,1,22,4,0
21,0,1,,1,12,4,0
38,0,2,2.386888,1,12,1,0
40,0,1,,1,16,4,0
61,0,0,,1,0,4,0
81,0,0,,1,13,4,0
21,0,0,,4,12,4,0
60,0,0,,1,15,4,0
49,0,0,3.37588,1,12,1,0
64,0,0,,1,12,4,0
38,0,1,3.674926,1,12,1,0
31,0,1,3.72126,1,15,1,0
66,0,0,2.763292,1,10,1,0
25,0,0,3.806791,4,15,1,0
37,0,1,,1,12,4,0
69,0,0,,2,14,4,0
59,0,0,4.881861,1,15,1,0
56,0,0,3.679599,1,14,1,0
41,0,0,,2,15,4,0
69,0,0,,1,14,4,0
53,0,0,5.499715,1,12,1,0
21,0,0,,4,12,4,0
50,0,0,4.347833,1,14,1,0
21,0,0,,4,12,4,0
16,0,0,,4,10,4,0
